SUBJECT,SEX,AGE,HEIGHT,WEIGHT,AG_R,AG_L,CG_R,CG_L,HB_R,HB_L,FB_R,FB_L,CS_R(mm),CS_L(mm),TS_R(mm),TS_L(mm),SBS_R(mm),SBS_L(mm),SPS_R(mm),SPS_L(mm),SOMATOTYPE
141,M,22,194.2,91.2,32,32.5,38,37.9,10,10.3,6.7,6.9,6.4,5,7,7,10.6,11,6.6,5.6,Central
142,M,21,175.2,76.7,34,33.7,36,36.5,6.6,6.6,9.2,9.5,9.8,10,11,10.2,17.2,17.2,13.2,11.8,Mesomorph-endomorph
143,M,21,173.8,81.5,34.5,34.3,38,38.3,6.4,6.8,10,9.9,6.4,8.2,10.4,10.2,14,13.4,10.4,13,Endomorphic mesomorph
144,M,21,178.3,87.1,36.9,35.5,38.6,38.8,6.7,6.7,9.7,9.7,13.6,13.8,21.2,19.4,20.2,23.4,25.4,25,Mesomorphic endomorph
145,M,21,175.5,76.9,33.3,32.3,37.2,37.5,6.4,6.4,9.7,9.8,5.4,6.4,10.6,8.8,13.4,13.2,12.2,10.4,Endomorphic mesomorph
146,M,21,178.7,89.8,34.1,35,39.7,40,6.7,6.6,10.3,10.5,12,13.6,19.4,15.4,16.4,18.2,20,19.4,Mesomorphic endomorph
147,M,23,170,76,34.4,33.7,37.6,38,6.7,6.7,9.8,9.8,12.4,11.2,14.2,14.4,19.2,17.8,19.8,20.6,Mesomorph-endomorph
148,M,20,175.8,86.7,35.2,35.5,39.8,39.5,6.5,6.5,10.3,10.3,8.4,7.2,8.2,7.8,15.8,14.4,9.6,10.6,Endomorphic mesomorph
149,M,21,183.3,92,35.3,35,40.8,40.3,7.5,7,9.6,9.7,9.8,10.4,16.2,15.6,21.4,22.2,23.8,20,Mesomorphic endomorph
150,M,19,180,80.7,32.7,33.4,37,36.8,6.5,6.4,9.2,9.1,8,8.8,10,10.2,21,21,21,20.2,Mesomorphic endomorph
151,M,20,172.6,70,31.5,32,37.3,36.7,6.4,6.7,9.4,9.5,6.6,7.4,9.4,7.8,10.6,10.8,8.2,8.4,Balanced mesomorph
152,M,20,167.5,74,32.5,32.5,38,38.5,6.4,6.4,10,10,5.8,5.8,8.8,6.8,11.2,11.6,14.4,12.4,Endomorphic mesomorph
153,M,20,173.1,66.2,32.8,32.3,35,34.8,6.3,6.2,9.5,9.5,5.8,5,6.4,5,8.4,8.4,5.4,5.4,Balanced mesomorph
154,M,19,175.3,77.2,30.6,32.1,37.4,38,6.5,6.8,10,10.2,7.8,7.8,14,12.8,11.8,12.8,11.6,11.8,Endomorphic mesomorph
155,M,20,175.4,79.8,33.3,31.8,38.2,37.7,6.5,6.5,9.5,9.5,7.8,8,10.2,10.6,13.8,14.4,11.8,11.8,Mesomorph-endomorph
156,M,19,186.1,90.1,32,33.7,40.6,41.5,6.5,6.6,10,10.1,13.8,14.8,17,18.2,14.8,15.4,13.4,12.2,Mesomorphic endomorph
157,M,19,170.9,80.7,34.5,35.7,39.8,39.5,6.6,6.7,10,10,7.2,8.4,14.6,15.4,17.2,18,9.6,9.8,Endomorphic mesomorph
158,M,19,176.3,81.7,34,33.2,39.4,38,7,6.9,9.8,9.8,8.6,8.8,11.2,12.4,12.8,13,12.2,11.2,Endomorphic mesomorph
159,M,18,182.7,85,32.7,32.5,40.6,40.5,6.7,6.7,10.5,10.6,8.8,7,10.4,8.8,9.8,9,9.6,9.6,Balanced mesomorph
160,M,19,173.2,82.9,36.2,35.8,39.2,38.8,6.6,6.8,9.7,9.7,9.4,9.8,16.6,15.6,16.4,16.8,17.2,16.4,Mesomorph-endomorph
161,M,22,168.3,70,33,32.5,38.5,38.5,6.7,6.8,10.2,10,6.4,6,7.8,7.8,9.2,9.2,9,8.4,Endomorphic mesomorph
162,M,21,180.4,76,31.2,31,36.9,38,6.8,6.8,9.7,9.8,5,5.4,10.4,9.6,10.6,10.2,8.8,9,Balanced mesomorph
163,M,21,173,68.4,32.5,32.5,35.3,35,6.7,6.5,9.3,9.1,5,4.8,9,8.8,8.6,8.4,7.4,7.2,Balanced mesomorph
164,M,21,189.4,85.7,32.9,33,39.5,39,6.6,6.6,10.7,10.8,4.6,4.4,8.8,8.8,9.4,9.8,6,6.4,Balanced mesomorph
165,M,21,176.6,75.4,32,33,37.5,38.8,6.4,6.3,9.8,9.6,5,4.8,9,7.6,8.8,9.6,9.6,8.4,Balanced mesomorph
166,M,19,187.6,77.6,33.3,33.5,37.6,37.8,6.9,6.9,9.6,9.8,7.8,7.8,7.2,7.4,10.8,10,5.8,6.2,Mesomorph-ectomorph
167,F,21,161.6,57.6,26.3,26.5,33.5,33.7,5.5,5.7,9.2,9.1,10.8,9.8,15.6,15,14,14.8,13,14,Mesomorphic endomorph
168,M,19,185.5,84.2,33.1,33,39.9,39,6.6,6.7,9.7,9.8,4.2,5.2,9,7.2,10,9.8,5.6,6.4,Balanced mesomorph
169,M,22,172.6,74.6,33,32.2,38,38,6.3,6.5,9.5,9.6,8.6,8.4,13,12.8,12.2,12.8,5.8,5.6,Endomorphic mesomorph
170,M,19,177.8,77,33,33,37.3,37.6,6.7,6.8,10,10,5.4,5.2,9.4,9,9.8,10.4,8,7.6,Balanced mesomorph
171,M,19,174.4,74.2,31.7,32,37,37.5,6.5,6.5,9.7,9.7,6.4,6.2,6.4,5.6,9,9.4,6,5.8,Balanced mesomorph
172,M,21,180,72.6,31.1,30.2,37.9,37.4,6.6,6.6,9.9,10,5,4.8,6.4,6.6,7.6,8.2,6.6,6.2,Ectomorphic mesomorph
173,M,22,180.1,71.6,29.5,28.3,37.2,36.6,6.6,6.6,9.7,9.5,7.4,6,12.4,12.4,12.6,13.2,9.2,8.6,Central
174,M,20,174.8,67.8,30,29.5,35.1,35.1,6.1,6,9.6,9.5,6,5.6,7.2,8.4,8.8,9.4,6.2,6.8,Central
175,M,22,175,70.4,29,29.8,36,36,6.8,6.8,10,10,4.6,4.6,8.2,8,10.2,10.6,6.6,6.8,Balanced mesomorph
176,M,21,174,75.1,32,31.8,38.7,39.7,6.5,6.6,10.5,10.2,6,5.8,5.6,5.8,8.4,8.8,5.4,5.4,Balanced mesomorph
177,M,20,173.4,65.8,30.8,31,36.5,36.5,6.3,6.3,9.5,9.5,4.6,4.8,5.2,5.6,7.2,7.4,4.6,4.6,Ectomorphic mesomorph
178,M,21,185.3,87.9,34,34.4,39.5,39.5,7.1,7.2,10,9.9,5.4,5.2,7,6.6,10.4,10,8.4,8.8,Balanced mesomorph
179,M,20,171,69.8,29,29,37.5,38.3,6.6,6.7,9.6,9.5,5.2,6,9.2,9.6,9.2,10.8,7.6,7.4,Endomorphic mesomorph
180,M,19,169.1,68.5,30.5,31,36.6,36,6.2,6.4,9.6,9.5,5.2,5.2,9.6,8.4,8.8,8.6,7.2,8.2,Endomorphic mesomorph
181,F,22,166.7,58.8,25.7,25.7,37,37.5,5.5,5.7,9,8.8,5,5.4,9.7,8.8,8.2,11.2,8,7.6,Central
182,F,22,162.1,53.3,24.5,24.3,34.5,35,5.3,5.5,8.5,8.5,7.3,8,11.4,12,15.8,20,12.8,12.6,Ectomorphic endomorph
183,F,22,165.4,56.4,23.5,23.2,33.2,33.2,5.3,5.3,8.4,8.3,9.3,10.2,17.2,16.4,18.9,21,18,19.5,Ectomorphic endomorph
184,F,22,153.1,45.3,22.2,22.5,32.5,31.7,5.5,5.3,8.3,8.2,7,7.4,12,11.6,11.8,11.4,11.4,10.4,Balanced endomorph
185,M,23,182.6,78.4,36.3,35,35.8,36.8,6.7,6.7,9.6,9.6,5,5.2,7.8,8,11.6,12.2,11.2,11.4,Balanced mesomorph
186,M,18,177.8,69.6,32,31.2,36,36.3,6.8,6.5,9.4,9.6,3.8,4.2,5.8,5.6,8.8,9,4.6,4.8,Ectomorphic mesomorph
187,M,23,174.2,59.8,28.5,27.3,35,35.3,6.9,6.9,9.5,9.7,4.6,4.8,7.6,7,11.8,11.4,6.2,6.4,Mesomorph-ectomorph
188,M,21,185.2,75.2,30,30.1,38.8,38.8,6.8,6.6,10,10,6.4,6.4,8.2,7,6.4,6.4,4.8,4.8,Mesomorph-ectomorph
189,M,20,187,82.5,32,32.4,41,40.9,7,7,10,10,5.2,5.4,8.6,7.8,10.2,9.6,6.8,6.2,Balanced mesomorph
190,F,25,164.6,60.3,29.4,28.8,35.5,35.5,6.6,6,8.8,8.8,8,9.2,15.2,13.4,20.8,19.8,12.8,9.8,Mesomorphic endomorph
191,F,24,163.2,48.8,23,23.2,32.2,31.4,5.8,5.7,8.2,8.2,8.4,9,12.8,11.4,11,15.4,9.8,9.2,Endomorph-ectomorph
192,M,25,167.2,64.6,30.5,31.7,35.9,36,6.6,6.6,9.4,9.5,6.2,5.4,8,8.2,8,8.4,7,7,Balanced mesomorph
193,M,29,181,85,37,35.8,39.1,39,6.6,6.3,9.7,9.8,12,14.6,21,21,26.8,29.8,29.8,32.8,Mesomorphic endomorph
194,M,24,175,78,35.4,35.2,39.7,39.6,6.9,6.9,10.3,10.4,4.6,5,11.4,10.4,16.8,16.8,12.4,10.8,Endomorphic mesomorph
195,F,,165,55,27,26.5,33.9,33.7,5.6,5.5,8.5,8.6,7.4,7.2,10,11,10.6,9.4,6.6,7.6,Central
196,M,24,180,79,36,36,38.8,37.8,6.8,6.7,9.8,9.9,6.4,6,9.6,10.8,14.2,15.8,10.2,10.8,Endomorphic mesomorph
197,M,23,170,77,37,36.9,38.7,38,6.9,6.7,10,10,8.4,9.8,16,13,18.8,16.6,10.6,12.2,Endomorphic mesomorph
198,M,,172,67,33.5,33.2,37.5,37,6.2,6.1,9.2,9,5.2,5.4,6.6,7.2,14,13.2,7,7.4,Balanced mesomorph
199,M,,176,82,39.5,39.7,40.6,40,6.7,6.7,10.3,10.1,7.8,9.8,9,8.2,14.8,15.6,8.8,9.4,Endomorphic mesomorph
